Temperature (K);Pressure (MPa);Liquid Density (l, kg/m3);Vapor Density (v, kg/m3);Liquid Internal Energy (l, kJ/kg);Vapor Internal Energy (v, kJ/kg);Liquid Enthalpy (l, kJ/kg);Vapor Enthalpy (v, kJ/kg)
269.46;2.8363;925.42;76.340;154.45;362.12;157.51;399.27
269.67;2.8522;924.39;76.821;154.88;362.09;157.97;399.22
269.88;2.8681;923.35;77.305;155.32;362.07;158.43;399.17
270.09;2.8841;922.32;77.792;155.76;362.04;158.88;399.12
270.30;2.9001;921.28;78.283;156.20;362.02;159.34;399.06
270.52;2.9163;920.24;78.776;156.63;361.99;159.80;399.01
270.73;2.9324;919.20;79.272;157.07;361.96;160.26;398.96
270.94;2.9487;918.15;79.771;157.51;361.94;160.72;398.90
271.15;2.9650;917.10;80.273;157.95;361.91;161.18;398.84
271.36;2.9814;916.05;80.779;158.39;361.88;161.65;398.78
271.57;2.9978;914.99;81.288;158.83;361.85;162.11;398.73
271.79;3.0143;913.94;81.800;159.27;361.81;162.57;398.66
272.00;3.0309;912.88;82.315;159.72;361.78;163.04;398.60
272.21;3.0475;911.81;82.834;160.16;361.75;163.50;398.54
272.42;3.0643;910.75;83.355;160.60;361.72;163.97;398.48
272.63;3.0810;909.68;83.881;161.05;361.68;164.43;398.41
272.85;3.0979;908.61;84.409;161.49;361.64;164.90;398.35
273.06;3.1148;907.53;84.941;161.94;361.61;165.37;398.28
273.27;3.1318;906.45;85.476;162.38;361.57;165.84;398.21
273.48;3.1488;905.37;86.015;162.83;361.53;166.30;398.14
273.69;3.1659;904.29;86.557;163.27;361.49;166.77;398.07
273.91;3.1831;903.20;87.103;163.72;361.45;167.25;398.00
274.12;3.2004;902.11;87.653;164.17;361.41;167.72;397.92
274.33;3.2177;901.01;88.206;164.62;361.37;168.19;397.85
274.54;3.2351;899.91;88.762;165.07;361.33;168.66;397.77
274.75;3.2525;898.81;89.322;165.52;361.28;169.13;397.70
274.97;3.2700;897.71;89.886;165.97;361.24;169.61;397.62
275.18;3.2876;896.60;90.454;166.42;361.19;170.08;397.54
275.39;3.3053;895.49;91.025;166.87;361.15;170.56;397.46
275.60;3.3230;894.38;91.601;167.32;361.10;171.04;397.37
275.81;3.3408;893.26;92.180;167.77;361.05;171.51;397.29
276.03;3.3587;892.14;92.762;168.23;361.00;171.99;397.21
276.24;3.3766;891.01;93.349;168.68;360.95;172.47;397.12
276.45;3.3947;889.89;93.940;169.14;360.90;172.95;397.03
276.66;3.4127;888.76;94.535;169.59;360.84;173.43;396.94
276.87;3.4309;887.62;95.134;170.05;360.79;173.91;396.85
277.09;3.4491;886.48;95.736;170.51;360.73;174.40;396.76
277.30;3.4674;885.34;96.343;170.96;360.68;174.88;396.67
277.51;3.4858;884.19;96.955;171.42;360.62;175.36;396.57
277.72;3.5042;883.04;97.570;171.88;360.56;175.85;396.48
277.93;3.5227;881.89;98.189;172.34;360.50;176.33;396.38
278.15;3.5413;880.73;98.813;172.80;360.44;176.82;396.28
278.36;3.5599;879.57;99.441;173.26;360.38;177.31;396.18
278.57;3.5787;878.40;100.07;173.72;360.32;177.80;396.08
278.78;3.5975;877.23;100.71;174.19;360.26;178.29;395.98
278.99;3.6163;876.06;101.35;174.65;360.19;178.78;395.87
279.21;3.6353;874.88;102.00;175.11;360.13;179.27;395.77
279.42;3.6543;873.70;102.65;175.58;360.06;179.76;395.66
279.63;3.6734;872.51;103.30;176.05;359.99;180.26;395.55
279.84;3.6925;871.32;103.96;176.51;359.92;180.75;395.44
280.05;3.7118;870.13;104.63;176.98;359.85;181.24;395.33
280.27;3.7311;868.93;105.30;177.45;359.78;181.74;395.21
280.48;3.7505;867.73;105.97;177.92;359.71;182.24;395.10
280.69;3.7699;866.52;106.65;178.39;359.63;182.74;394.98
280.90;3.7895;865.31;107.34;178.86;359.56;183.24;394.86
281.11;3.8091;864.09;108.02;179.33;359.48;183.74;394.74
281.33;3.8287;862.87;108.72;179.80;359.40;184.24;394.62
281.54;3.8485;861.64;109.42;180.27;359.32;184.74;394.49
281.75;3.8683;860.41;110.12;180.75;359.24;185.24;394.37
281.96;3.8882;859.18;110.83;181.22;359.16;185.75;394.24
282.17;3.9082;857.94;111.55;181.70;359.07;186.25;394.11
282.39;3.9283;856.69;112.27;182.18;358.99;186.76;393.98
282.60;3.9484;855.44;112.99;182.65;358.90;187.27;393.85
282.81;3.9686;854.19;113.72;183.13;358.81;187.78;393.71
