Temperature (K);Pressure (MPa);Liquid Density (l, kg/m3);Vapor Density (v, kg/m3);Liquid Internal Energy (l, kJ/kg);Vapor Internal Energy (v, kJ/kg);Liquid Enthalpy (l, kJ/kg);Vapor Enthalpy (v, kJ/kg)
301.50;6.9474;646.86;296.47;281.01;355.65;291.75;379.09
301.65;6.9706;643.17;299.73;281.84;354.89;292.68;378.15
301.79;6.9938;639.34;303.11;282.69;354.10;293.63;377.18
301.94;7.0172;635.37;306.65;283.56;353.28;294.60;376.16
302.09;7.0405;631.24;310.34;284.46;352.41;295.62;375.10
302.23;7.0640;626.92;314.23;285.40;351.50;296.66;373.98
302.38;7.0876;622.39;318.32;286.37;350.54;297.76;372.81
302.52;7.1112;617.63;322.65;287.38;349.52;298.89;371.56
302.67;7.1349;612.58;327.26;288.44;348.44;300.09;370.24
302.82;7.1587;607.22;332.19;289.56;347.28;301.35;368.83
302.96;7.1826;601.47;337.50;290.74;346.02;302.68;367.30
303.11;7.2066;595.25;343.29;292.00;344.65;304.11;365.65
303.25;7.2307;588.45;349.66;293.37;343.15;305.66;363.83
303.40;7.2548;580.90;356.79;294.87;341.46;307.36;361.80
303.54;7.2791;572.34;364.95;296.54;339.54;309.26;359.48
303.69;7.3034;562.33;374.59;298.47;337.26;311.46;356.76
303.84;7.3279;550.00;386.66;300.81;334.43;314.13;353.38
303.98;7.3525;532.99;403.69;303.99;330.47;317.79;348.69
304.13;7.3773;467.60;467.60;316.47;316.47;332.25;332.25
